dato_fuld,dato,år,Artist,spillested,adresse,Coordinates,Latitude,Longitude,Genre,Arrangementstype
11/11/1995,11. nov.,1995,Trifid,Palmehaven,Østergade 12,"56.1540907,10.2033134",56.1540907,10.2033134,N/A,koncert
11/11/1995,11. nov.,1995,Mark Wallaby,Sherlock Holmes Pub,Frederiksgade 76A,"56.1540376,10.2017395",56.1540376,10.2017395,pop/rock/beat,koncert
11/11/1995,11. nov.,1995,Svovl-Box,Vestergade 58,Vestergade 58,"56.1575526,10.1983342",56.1575526,10.1983342,N/A,koncert
11/11/1995,11. nov.,1995,Emborg/Larsen Group,Æsken,Anholtsgade 4,"56.1611307,10.2062178",56.1611307,10.2062178,jazz,koncert
11/11/1995,11. nov.,1995,Poul Krebs,Aarhus Kongreshus,Amaliegade 23,"56.1611307,10.2062178",56.1611307,10.2062178,pop/rock/beat,koncert
11/11/1995,11. nov.,1995,Sotto Voce,Musikhuset,Thomas Jensens Allé 2,"56.1529864,10.1964921",56.1529864,10.1964921,klassisk,koncert
11/11/1995,11. nov.,1995,John Wedell; Lars Fentz,Skt. Lukas Kirke,Skt. Lucas Kirkeplads 1,"56.1448324,10.1935693",56.1448324,10.1935693,klassisk,koncert
11/11/1995,11. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
11/11/1995,11. nov.,1995,Aarhus Teater,Aarhus Teater,Teatergaden 1,"56.156178,10.208474",56.156178,10.208474,musikteater,forestilling
11/11/1995,11. nov.,1995,Hit med 80'erne,Blitz,Klostergade 34,"56.1589393,10.2039969",56.1589393,10.2039969,N/A,koncert
11/11/1995,11. nov.,1995,Bamses Venner,Trigehallen,Trige Centervej 1,"56.2487123,10.1529225",56.2487123,10.1529225,pop/rock/beat,koncert; bal
12/11/1995,12. nov.,1995,John Mayall and the Bluesbreakers,Blitz,Klostergade 34,"56.1589393,10.2039969",56.1589393,10.2039969,jazz,koncert
